timestamp,agents,feedback,validations,last_indexed_block,chain_head_block,identity_registry_deployed,reputation_registry_deployed,rpc_endpoint,onchain_agent_count,indexer_vs_onchain_diff,notes
2026-06-20T21:30:00Z,126,1244,Coming Soon,96593016,,,,,,,"Seeded from verified Quicknode fetch. Earlier fetch (~15-20 min prior) showed 108/633 — indexer was likely mid-backfill."
2026-06-20T23:13:58.913191Z,138,1535,Coming Soon,96933446,96933463,True,True,https://rpc.mantle.xyz,,,
2026-06-20T23:29:48.546574Z,139,1536,Coming Soon,96933922,96933938,True,True,https://rpc.mantle.xyz,,,
2026-06-20T23:32:58.026084Z,139,1537,Coming Soon,96934017,96934033,True,True,https://rpc.mantle.xyz,,,
2026-06-20T23:16:58.031418Z,138,1535,Coming Soon,96933535,96933552,True,True,https://rpc.mantle.xyz,138,0,On-chain recount matches indexer exactly
2026-06-21T06:08:54.858360Z,139,1550,Coming Soon,96945897,96945911,True,True,https://rpc.mantle.xyz,,,
2026-06-22T06:02:15.173015Z,140,1590,Coming Soon,96988894,96988911,True,True,https://rpc.mantle.xyz,,,
2026-06-23T06:21:42.309579Z,,,,,,,,,,,Scrape error: Failed to fetch https://erc-8004.quicknode.com/networks/mantle-mainnet after 3 retries; RPC error: Could not connect to any Mantle RPC endpoint
2026-06-24T06:06:42.116727Z,140,1631,Coming Soon,97075432,97075781,True,True,https://mantle.publicnode.com,,,
2026-06-25T06:29:00.902351Z,140,1638,Coming Soon,97119302,97119315,True,True,https://rpc.mantle.xyz,,,
2026-06-26T06:43:27.922919Z,141,1641,Coming Soon,97162932,97162948,True,True,https://rpc.mantle.xyz,,,
2026-06-27T06:45:36.843383Z,,,,,,,,,,,Scrape error: Failed to fetch https://erc-8004.quicknode.com/networks/mantle-mainnet after 3 retries; RPC error: Could not connect to any Mantle RPC endpoint
2026-06-28T06:07:59.662746Z,,,,,,,,,,,Scrape error: Failed to fetch https://erc-8004.quicknode.com/networks/mantle-mainnet after 3 retries; RPC error: Could not connect to any Mantle RPC endpoint
2026-06-29T06:11:19.722794Z,142,1650,Coming Soon,97291569,97291584,True,True,https://rpc.mantle.xyz,,,
